years,temp
20210901T0000,70.78635
20210901T0100,70.21035
20210901T0200,69.79635
20210901T0300,69.59834
20210901T0400,69.65235
20210901T0500,69.29234
20210901T0600,70.624344
20210901T0700,71.20035
20210901T0800,72.874344
20210901T0900,75.34035
20210901T1000,75.19635
20210901T1100,76.18635
20210901T1200,76.38435
20210901T1300,74.98035
20210901T1400,73.97235
20210901T1500,75.66435
20210901T1600,75.03435
20210901T1700,73.30635
20210901T1800,71.344345
20210901T1900,70.19235
20210901T2000,70.10235
20210901T2100,70.69635
20210901T2200,70.94835
20210901T2300,70.85835
20210902T0000,70.57035
20210902T0100,70.51635
20210902T0200,70.30035
20210902T0300,69.90435
20210902T0400,69.68835
20210902T0500,69.72435
20210902T0600,71.21835
20210902T0700,72.94635
20210902T0800,73.19835
20210902T0900,73.36035
20210902T1000,72.89235
20210902T1100,74.44035
20210902T1200,73.270355
20210902T1300,76.33035
20210902T1400,73.79234
20210902T1500,73.97235
20210902T1600,73.93635
20210902T1700,73.19835
20210902T1800,72.47835
20210902T1900,71.578354
20210902T2000,71.56035
20210902T2100,71.47035
20210902T2200,71.38035
20210902T2300,71.05635
20210903T0000,70.84035
20210903T0100,70.66035
20210903T0200,70.49835
20210903T0300,70.30035
20210903T0400,70.318344
20210903T0500,70.372345
20210903T0600,73.05435
20210903T0700,73.61235
20210903T0800,76.16835
20210903T0900,77.30235
20210903T1000,76.04234
20210903T1100,78.67035
20210903T1200,79.75035
20210903T1300,77.68034
20210903T1400,77.15835
20210903T1500,77.14035
20210903T1600,76.96035
20210903T1700,76.43835
20210903T1800,75.03435
20210903T1900,73.07235
20210903T2000,72.40635
20210903T2100,72.17235
20210903T2200,72.11835
20210903T2300,72.06435
20210904T0000,72.010345
20210904T0100,71.79434
20210904T0200,71.45235
20210904T0300,71.00235
20210904T0400,70.58835
20210904T0500,70.44435
20210904T0600,71.75835
20210904T0700,75.37635
20210904T0800,75.37635
20210904T0900,77.122345
20210904T1000,75.66435
20210904T1100,78.47235
20210904T1200,79.26435
20210904T1300,79.44435
20210904T1400,79.26435
20210904T1500,79.75035
20210904T1600,77.87835
20210904T1700,77.39235
20210904T1800,75.14235
20210904T1900,74.33235
20210904T2000,73.97235
20210904T2100,74.17035
20210904T2200,74.18835
20210904T2300,74.06235
20210905T0000,73.00035
20210905T0100,72.53235
20210905T0200,72.40635
20210905T0300,72.28035
20210905T0400,72.02835
20210905T0500,71.97435
20210905T0600,74.02635
20210905T0700,76.52835
20210905T0800,78.41835
20210905T0900,77.32035
20210905T1000,77.50035
20210905T1100,79.53435
20210905T1200,78.63435
20210905T1300,79.10235
20210905T1400,78.74235
20210905T1500,78.63435
20210905T1600,78.400345
20210905T1700,78.00435
20210905T1800,75.98834
20210905T1900,74.80035
20210905T2000,74.566345
20210905T2100,74.69235
20210905T2200,74.78235
20210905T2300,74.44035
20210906T0000,74.206345
20210906T0100,74.27835
20210906T0200,73.79234
20210906T0300,73.37835
20210906T0400,73.05435
20210906T0500,72.76635
20210906T0600,73.828354
20210906T0700,75.790344
20210906T0800,77.428345
20210906T0900,79.066345
20210906T1000,81.28035
20210906T1100,83.11635
20210906T1200,84.25035
20210906T1300,82.70235
20210906T1400,81.24435
20210906T1500,79.39035
20210906T1600,76.69035
20210906T1700,75.95235
20210906T1800,74.09834
20210906T1900,73.43234
20210906T2000,73.32435
20210906T2100,73.99035
20210906T2200,74.38635
20210906T2300,75.08835
20210907T0000,75.790344
20210907T0100,75.44835
20210907T0200,74.45835
20210907T0300,74.02635
20210907T0400,73.75635
20210907T0500,73.34235
20210907T0600,73.846344
20210907T0700,73.93635
20210907T0800,73.846344
20210907T0900,74.17035
20210907T1000,73.91835
20210907T1100,74.08035
20210907T1200,74.67435
20210907T1300,78.74235
20210907T1400,80.344345
20210907T1500,81.17235
20210907T1600,80.66835
20210907T1700,78.63435
20210907T1800,75.538345
20210907T1900,73.954346
20210907T2000,74.42235
20210907T2100,74.260345
